"AUDIOFILE"              ,"FOREIGNWORD"                     ,"LEVEL","NATIVEWORD"
"/st/snw/advise.mp3"     ,"advise"                          ,"B1"   ,"tanácsol, tanácsot ad"
"/st/snw/listen.mp3"     ,"listen"                          ,"B1"   ,"hallgat vkire, odafigyel vkire"
"/st/snw/recommend.mp3"  ,"recommend"                       ,"B1"   ,"ajánl, javasol vmit/vkit"
"/st/snw/suggest.mp3"    ,"suggest"                         ,"B1"   ,"javasol vmit"
"/st/snw/suggest.mp3"    ,"suggest"                         ,"B1"   ,"javasol, javaslatot tesz vkire/vmire"
"/st/snw/could.mp3"      ,"could"                           ,"B1"   ,"-na, -ne"
"/st/snw/must.mp3"       ,"must"                            ,"B1"   ,"kell"
"/st/snw/ought_to.mp3"   ,"ought to"                        ,"B1"   ,"kellene, jó lenne"
"/st/snw/should.mp3"     ,"should"                          ,"B1"   ,"kellene"
"/st/snw/suggestion.mp3" ,"suggestion"                      ,"B1"   ,"javaslat; tanács"
"/st/snw/tip.mp3"        ,"tip"                             ,"B1"   ,"tipp"
"/st/snw/or.mp3"         ,"or"                              ,"B1"   ,"vagy"
"/st/snk/r824.mp3"       ,"can/could always do sth"         ,"B1"   ,"mindig megtehet  vmit   vkinek vmit  vkinek/felvilágosít vkit"
"/st/snk/r1493.mp3"      ,"if I were you"                   ,"B1"   ,"a helyedben, ha a helyedben lennék  vmit   vkinek vmit  vkinek/felvilágosít vkit"
"/st/snk/r2444.mp3"      ,"show sb what to do/how to do sth","B1"   ,"megmutatja hogy kell csinálni  vmit   vkinek vmit  vkinek/felvilágosít vkit"
"/st/snk/r2673.mp3"      ,"tell sb how/what/when to do sth" ,"B1"   ,"megmondja hogyan/mit/mikor tegyen  vmit   vkinek vmit  vkinek/felvilágosít vkit"
"/st/snw/allow.mp3"      ,"allow"                           ,"B1"   ,"megenged, engedélyez"
"/st/snw/ask.mp3"        ,"ask"                             ,"B1"   ,"megkér vkit vmire"
"/st/snw/ask.mp3"        ,"ask"                             ,"B1"   ,"kér vmit"
"/st/snw/ask.mp3"        ,"ask"                             ,"B1"   ,"engedélyt kér"
"/st/snw/convince.mp3"   ,"convince"                        ,"B1"   ,"meggyőz vkit vmiről; rábeszél, rábír"
"/st/snw/demand.mp3"     ,"demand"                          ,"B1"   ,"követel vki vmit"
"/st/snw/encourage.mp3"  ,"encourage"                       ,"B1"   ,"elősegít, ösztönöz"
"/st/snw/encourage.mp3"  ,"encourage"                       ,"B1"   ,"buzdít, bátorít"
"/st/snw/follow.mp3"     ,"follow"                          ,"B1"   ,"követ"
"/st/snw/give.mp3"       ,"give"                            ,"B1"   ,"ad"
"/st/snw/insist.mp3"     ,"insist"                          ,"B1"   ,"ragaszkodik vmihez"
"/st/snw/keep.mp3"       ,"keep"                            ,"B1"   ,"visszatart, feltart, feltartóztat"
"/st/snw/let.mp3"        ,"let"                             ,"B1"   ,"enged, megenged, hagy"
"/st/snw/permit_verb.mp3","permit"                          ,"B1"   ,"megenged, engedélyez"
"/st/snw/persuade.mp3"   ,"persuade"                        ,"B1"   ,"rábeszél vkit vmire"
"/st/snw/prevent.mp3"    ,"prevent"                         ,"B1"   ,"akadályoz, megakadályoz"
"/st/snw/promise.mp3"    ,"promise"                         ,"B1"   ,"ígér, megígér vmit vkinek"
"/st/snw/promise.mp3"    ,"promise"                         ,"B1"   ,"nekiígér, odaígér vmit vkinek"
"/st/snw/refuse.mp3"     ,"refuse"                          ,"B1"   ,"visszautasít"
"/st/snw/request.mp3"    ,"request"                         ,"B1"   ,"kér"
"/st/snw/stop.mp3"       ,"stop"                            ,"B1"   ,"megakadályoz vkit vmiben"
"/st/snw/support.mp3"    ,"support"                         ,"B1"   ,"támogat vkit"
"/st/snw/wonder.mp3"     ,"wonder"                          ,"B1"   ,"lenne szíves, szabad lenne"
"/st/snw/could.mp3"      ,"could"                           ,"B1"   ,"-hat, -het"
"/st/snw/may.mp3"        ,"may"                             ,"B1"   ,"-hat, -het"
"/st/snw/demand.mp3"     ,"demand"                          ,"B1"   ,"kérés, követelés"
"/st/snw/favour.mp3"     ,"favour"                          ,"B1"   ,"szívesség"
"/st/snw/permission.mp3" ,"permission"                      ,"B1"   ,"engedély; engedélyezés"
"/st/snw/promise.mp3"    ,"promise"                         ,"B1"   ,"ígéret"
"/st/snw/request.mp3"    ,"request"                         ,"B1"   ,"kérés"
"/st/snw/reward.mp3"     ,"reward"                          ,"B1"   ,"jutalom"
"/st/snw/support.mp3"    ,"support"                         ,"B1"   ,"támogatás"
"/st/snw/thank_you.mp3"  ,"thank you"                       ,"B1"   ,"köszönet"
"/st/snw/forbidden.mp3"  ,"forbidden"                       ,"B1"   ,"tilos"
"/st/snw/helpful.mp3"    ,"helpful"                         ,"B1"   ,"segítőkész, szolgálatkész; hasznos"
"/st/snw/possibly.mp3"   ,"possibly"                        ,"B1"   ,"esetleg"
"/st/snw/behind.mp3"     ,"behind"                          ,"B1"   ,"vki/vmi mögött"
"/st/snw/for.mp3"        ,"for"                             ,"B1"   ,"-ért, -nak, -nek"
"/st/snk/r44.mp3"        ,"Come on!"                        ,"B1"   ,"gyerünk! siess!"
"/st/snk/r1324.mp3"      ,"give in"                         ,"B1"   ,"enged"
"/st/snk/r1477.mp3"      ,"hold up ↔ sb/sth"                ,"B1"   ,"feltart, feltartóztat"
"/st/snk/r1663.mp3"      ,"join in (sth)"                   ,"B1"   ,"részt vesz"
"/st/snk/r169.mp3"       ,"a hand"                          ,"B1"   ,"segítség   vmi"
"/st/snk/r646.mp3"       ,"be welcome to do sth"            ,"B1"   ,"módjában/rendelkezésére áll   vmi"
"/st/snk/r648.mp3"       ,"be willing (to do sth)"          ,"B1"   ,"hajlandó   vmi"
"/st/snk/r1883.mp3"      ,"make sb do sth"                  ,"B1"   ,"kényszerít ; rávesz   vmi"
"/st/snk/r1973.mp3"      ,"not at all"                      ,"B1"   ,"szívesen   vmi"
"/st/snk/r2632.mp3"      ,"take part"                       ,"B1"   ,"részt vesz   vmi"
"/st/snk/r3030.mp3"      ,"with the help of sth"            ,"B1"   ,"segítségével   vmi"
"/st/snk/r117.mp3"       ,"Would you mind...?"              ,"B1"   ,"lenne/legyen szíves; volna olyan kedves; szabadna kérem   vmi"
