"AUDIOFILE"                   ,"FOREIGNWORD"      ,"LEVEL","NATIVEWORD"
"/st/snw/rise.mp3"            ,"rise"             ,"B1"   ,"felkel"
"/st/snw/set.mp3"             ,"set"              ,"B1"   ,"lemegy, lenyugszik"
"/st/snw/earth.mp3"           ,"earth"            ,"B1"   ,"Föld"
"/st/snw/northeast.mp3"       ,"northeast"        ,"B1"   ,"északkelet"
"/st/snw/northwest.mp3"       ,"northwest"        ,"B1"   ,"északnyugat"
"/st/snw/planet.mp3"          ,"planet"           ,"B1"   ,"bolygó"
"/st/snw/shade.mp3"           ,"shade"            ,"B1"   ,"árnyék"
"/st/snw/shadow.mp3"          ,"shadow"           ,"B1"   ,"árnyék, az árnyéka vminek"
"/st/snw/southeast.mp3"       ,"southeast"        ,"B1"   ,"délkelet"
"/st/snw/southwest.mp3"       ,"southwest"        ,"B1"   ,"délnyugat"
"/st/snw/space.mp3"           ,"space"            ,"B1"   ,"világűr"
"/st/snw/sunrise.mp3"         ,"sunrise"          ,"B1"   ,"napkelte"
"/st/snw/sunset.mp3"          ,"sunset"           ,"B1"   ,"napnyugta, naplemente"
"/st/snw/sunshine.mp3"        ,"sunshine"         ,"B1"   ,"napfény, napsütés"
"/st/snw/eastern.mp3"         ,"eastern"          ,"B1"   ,"kelet-, keleti"
"/st/snw/light.mp3"           ,"light"            ,"B1"   ,"világos"
"/st/snw/northeast.mp3"       ,"northeast"        ,"B1"   ,"északkelet-, északkeleti"
"/st/snw/northern.mp3"        ,"northern"         ,"B1"   ,"észak-, északi"
"/st/snw/northwest.mp3"       ,"northwest"        ,"B1"   ,"északnyugat-, északnyugati"
"/st/snw/southeast.mp3"       ,"southeast"        ,"B1"   ,"délkelet-, délkeleti"
"/st/snw/southern.mp3"        ,"southern"         ,"B1"   ,"déli, délvidéki; dél-"
"/st/snw/southwest.mp3"       ,"southwest"        ,"B1"   ,"délnyugat-, délnyugati"
"/st/snw/western.mp3"         ,"western"          ,"B1"   ,"nyugat-, nyugati, nyugaton fekvő"
"/st/snk/r907.mp3"            ,"come out"         ,"B1"   ,"kijön, feljön, megjelenik"
"/st/snk/r1352.mp3"           ,"go down"          ,"B1"   ,"lemegy ; elsüllyed"
"/st/snk/r2711.mp3"           ,"the dark"         ,"B1"   ,"a sötét"
"/st/snk/r2840.mp3"           ,"the universe"     ,"B1"   ,"világegyetem"
"/st/snw/bay.mp3"             ,"bay"              ,"B1"   ,"öböl"
"/st/snw/bottom.mp3"          ,"bottom"           ,"B1"   ,"tenger/tó/folyó fenék, alja"
"/st/snw/canal.mp3"           ,"canal"            ,"B1"   ,"csatorna"
"/st/snw/cave.mp3"            ,"cave"             ,"B1"   ,"barlang"
"/st/snw/cliff.mp3"           ,"cliff"            ,"B1"   ,"sziklaszirt, parti sziklafal"
"/st/snw/coast.mp3"           ,"coast"            ,"B1"   ,"tengerpart"
"/st/snw/continent.mp3"       ,"continent"        ,"B1"   ,"kontinens"
"/st/snw/ocean.mp3"           ,"ocean"            ,"B1"   ,"óceán"
"/st/snw/peak.mp3"            ,"peak"             ,"B1"   ,"csúcs, hegycsúcs"
"/st/snw/rock.mp3"            ,"rock"             ,"B1"   ,"szikla; kőzet"
"/st/snw/shore.mp3"           ,"shore"            ,"B1"   ,"tengerpart; tópart"
"/st/snw/stream.mp3"          ,"stream"           ,"B1"   ,"patak"
"/st/snw/the_seaside.mp3"     ,"the seaside"      ,"B1"   ,"tengerpart, tengermellék"
"/st/snw/valley.mp3"          ,"valley"           ,"B1"   ,"völgy"
"/st/snw/waterfall.mp3"       ,"waterfall"        ,"B1"   ,"vízesés"
"/st/snw/wave.mp3"            ,"wave"             ,"B1"   ,"hullám"
"/st/snw/sandy.mp3"           ,"sandy"            ,"B1"   ,"homokos"
"/st/snw/hunt.mp3"            ,"hunt"             ,"B1"   ,"vadászik"
"/st/snw/ant.mp3"             ,"ant"              ,"B1"   ,"hangya"
"/st/snw/bat.mp3"             ,"bat"              ,"B1"   ,"denevér"
"/st/snw/bee.mp3"             ,"bee"              ,"B1"   ,"méh"
"/st/snw/bug.mp3"             ,"bug"              ,"B1"   ,"rovar, bogár; poloska"
"/st/snw/bull.mp3"            ,"bull"             ,"B1"   ,"bika; hím"
"/st/snw/butterfly.mp3"       ,"butterfly"        ,"B1"   ,"lepke, pillangó"
"/st/snw/cage.mp3"            ,"cage"             ,"B1"   ,"ketrec, kalitka"
"/st/snw/calf.mp3"            ,"calf"             ,"B1"   ,"borjú"
"/st/snw/camel.mp3"           ,"camel"            ,"B1"   ,"teve"
"/st/snw/cattle.mp3"          ,"cattle"           ,"B1"   ,"szarvasmarha"
"/st/snw/creature.mp3"        ,"creature"         ,"B1"   ,"teremtmény, élőlény"
"/st/snw/dolphin.mp3"         ,"dolphin"          ,"B1"   ,"delfin"
"/st/snw/donkey.mp3"          ,"donkey"           ,"B1"   ,"szamár"
"/st/snw/fly.mp3"             ,"fly"              ,"B1"   ,"légy"
"/st/snw/frog.mp3"            ,"frog"             ,"B1"   ,"béka"
"/st/snw/fur.mp3"             ,"fur"              ,"B1"   ,"szőr, szőrzet; szőrme, prém"
"/st/snw/giraffe.mp3"         ,"giraffe"          ,"B1"   ,"zsiráf"
"/st/snw/goat.mp3"            ,"goat"             ,"B1"   ,"kecske"
"/st/snw/kangaroo.mp3"        ,"kangaroo"         ,"B1"   ,"kenguru"
"/st/snw/kitten.mp3"          ,"kitten"           ,"B1"   ,"kiscica, kismacska, macskakölyök"
"/st/snw/lamb.mp3"            ,"lamb"             ,"B1"   ,"bárány; bárányhús"
"/st/snw/life.mp3"            ,"life"             ,"B1"   ,"élet"
"/st/snw/monster.mp3"         ,"monster"          ,"B1"   ,"szörny, szörnyeteg"
"/st/snw/mosquito.mp3"        ,"mosquito"         ,"B1"   ,"szúnyog, moszkitó"
"/st/snw/parrot.mp3"          ,"parrot"           ,"B1"   ,"papagáj"
"/st/snw/penguin.mp3"         ,"penguin"          ,"B1"   ,"pingvin"
"/st/snw/puppy.mp3"           ,"puppy"            ,"B1"   ,"kölyökkutya"
"/st/snw/shark.mp3"           ,"shark"            ,"B1"   ,"cápa"
"/st/snw/spider.mp3"          ,"spider"           ,"B1"   ,"pók"
"/st/snw/tiger.mp3"           ,"tiger"            ,"B1"   ,"tigris"
"/st/snw/web.mp3"             ,"web"              ,"B1"   ,"háló"
"/st/snw/whale.mp3"           ,"whale"            ,"B1"   ,"bálna"
"/st/snw/wildlife.mp3"        ,"wildlife"         ,"B1"   ,"vadvilág"
"/st/snw/wing.mp3"            ,"wing"             ,"B1"   ,"szárny"
"/st/snw/branch.mp3"          ,"branch"           ,"B1"   ,"ág, faág"
"/st/snw/corn.mp3"            ,"corn"             ,"B1"   ,"gabona"
"/st/snw/jungle.mp3"          ,"jungle"           ,"B1"   ,"dzsungel, őserdő"
"/st/snw/leaf.mp3"            ,"leaf"             ,"B1"   ,"levél , falevél"
"/st/snw/rainforest.mp3"      ,"rainforest"       ,"B1"   ,"esőerdő"
"/st/snw/rose.mp3"            ,"rose"             ,"B1"   ,"rózsa"
"/st/snw/green.mp3"           ,"green"            ,"B1"   ,"zöld"
"/st/snw/blow.mp3"            ,"blow"             ,"B1"   ,"fúj"
"/st/snw/freeze.mp3"          ,"freeze"           ,"B1"   ,"fagy, megfagy, befagy; fagyaszt, megfagyaszt, befagyaszt"
"/st/snw/pour.mp3"            ,"pour"             ,"B1"   ,"ömlik; zuhog"
"/st/snw/breeze.mp3"          ,"breeze"           ,"B1"   ,"szellő"
"/st/snw/climate.mp3"         ,"climate"          ,"B1"   ,"éghajlat, klíma"
"/st/snw/heat.mp3"            ,"heat"             ,"B1"   ,"hő, hőség, meleg; hőfok"
"/st/snw/lightning.mp3"       ,"lightning"        ,"B1"   ,"villám, villámlás"
"/st/snw/shower.mp3"          ,"shower"           ,"B1"   ,"zápor"
"/st/snw/thunder.mp3"         ,"thunder"          ,"B1"   ,"mennydörgés"
"/st/snw/weather_forecast.mp3","weather forecast" ,"B1"   ,"időjárás-előrejelzés, időjárás-jelentés"
"/st/snw/zero.mp3"            ,"zero"             ,"B1"   ,"nulla fok, fagypont"
"/st/snw/calm.mp3"            ,"calm"             ,"B1"   ,"sima, nyugodt, csendes"
"/st/snw/clear.mp3"           ,"clear"            ,"B1"   ,"világos, tiszta"
"/st/snw/cool.mp3"            ,"cool"             ,"B1"   ,"hűvös, hűsítő"
"/st/snw/fine.mp3"            ,"fine"             ,"B1"   ,"jó/szép idő"
"/st/snw/freezing.mp3"        ,"freezing"         ,"B1"   ,"dermesztő hideg"
"/st/snw/fresh.mp3"           ,"fresh"            ,"B1"   ,"friss, üde, üdítő"
"/st/snw/frozen.mp3"          ,"frozen"           ,"B1"   ,"befagyott"
"/st/snw/humid.mp3"           ,"humid"            ,"B1"   ,"nyirkos, párás"
"/st/snw/icy.mp3"             ,"icy"              ,"B1"   ,"jeges"
"/st/snw/icy.mp3"             ,"icy"              ,"B1"   ,"jeges"
"/st/snw/mild.mp3"            ,"mild"             ,"B1"   ,"enyhe"
"/st/snw/rainy.mp3"           ,"rainy"            ,"B1"   ,"esős"
"/st/snk/r714.mp3"            ,"blow away ↔ (sth)","B1"   ,"elfúj  vmit"
"/st/snk/r715.mp3"            ,"blow down ↔ (sth)","B1"   ,"ledönt, kidönt, lever  vmit"
"/st/snk/r2707.mp3"           ,"the cold"         ,"B1"   ,"hideg"
