"AUDIOFILE"                  ,"FOREIGNWORD"                               ,"LEVEL","NATIVEWORD"
"/st/snw/concede.mp3"        ,"concede"                                   ,"C2"   ,"átenged vmit vkinek; enged vkinek"
"/st/snw/consent.mp3"        ,"consent"                                   ,"C2"   ,"beleegyezik vmibe"
"/st/snw/observe.mp3"        ,"observe"                                   ,"C2"   ,"betart"
"/st/snw/submit.mp3"         ,"submit"                                    ,"C2"   ,"aláveti magát"
"/st/snw/coherence.mp3"      ,"coherence"                                 ,"C2"   ,"összetartás, összetartozás, koherencia"
"/st/snw/inclination.mp3"    ,"inclination"                               ,"C2"   ,"hajlam, hajlandóság"
"/st/snw/willing.mp3"        ,"willing"                                   ,"C2"   ,"készséges; hajlandó"
"/st/snw/voluntarily.mp3"    ,"voluntarily"                               ,"C2"   ,"önként, önkéntesen"
"/st/snk/r949.mp3"           ,"count sb in"                               ,"C2"   ,"számol  vkivel   vmiben"
"/st/snk/r1085.mp3"          ,"engage in sth"                             ,"C2"   ,"részt vesz  vkivel   vmiben"
"/st/snk/r493.mp3"           ,"be disposed to do sth"                     ,"C2"   ,"hajlandó , hajlamos  vmire vmire    vkit/vmit vmiben vminek"
"/st/snk/r542.mp3"           ,"be in the same boat"                       ,"C2"   ,"ugyanabban a helyzetben van, egy hajóban eveznek  vmire vmire    vkit/vmit vmiben vminek"
"/st/snk/r868.mp3"           ,"claim credit/responsibility/success, etc." ,"C2"   ,"magára vállal/magáénak tekinti az érdemet/felelősséget/sikert/stb.  vmire vmire    vkit/vmit vmiben vminek"
"/st/snk/r1188.mp3"          ,"follow suit"                               ,"C2"   ,"követ , megfelelően cselekszik  vmire vmire    vkit/vmit vmiben vminek"
"/st/snk/r1662.mp3"          ,"join forces"                               ,"C2"   ,"egyesítik erőiket  vmire vmire    vkit/vmit vmiben vminek"
"/st/snk/r2215.mp3"          ,"pull your weight"                          ,"C2"   ,"kiveszi a részét  vmire vmire    vkit/vmit vmiben vminek"
"/st/snk/r2920.mp3"          ,"toe the line"                              ,"C2"   ,"beáll a sorba, engedelmeskedik  vmire vmire    vkit/vmit vmiben vminek"
"/st/snk/r2962.mp3"          ,"undertake to do sth"                       ,"C2"   ,"vállal, megígér  vmire vmire    vkit/vmit vmiben vminek"
"/st/snw/defy.mp3"           ,"defy"                                      ,"C2"   ,"ellenszegül"
"/st/snw/rejection.mp3"      ,"rejection"                                 ,"C2"   ,"elutasítás, visszautasítás"
"/st/snw/resistance.mp3"     ,"resistance"                                ,"C2"   ,"ellenállás"
"/st/snw/arbitrary.mp3"      ,"arbitrary"                                 ,"C2"   ,"önkényes"
"/st/snk/r423.mp3"           ,"back out"                                  ,"C2"   ,"visszakozik, visszatáncol   vmivel  vmiből"
"/st/snk/r2266.mp3"          ,"react against sth"                         ,"C2"   ,"szembeszegül   vmivel  vmiből"
"/st/snk/r2544.mp3"          ,"stay out of sth"                           ,"C2"   ,"kimarad   vmivel  vmiből"
"/st/snk/r273.mp3"           ,"against sb's advice/wishes, etc."          ,"C2"   ,"tanácsa/akarata/stb. ellenére   vkire vki/vmi    vmit"
"/st/snk/r664.mp3"           ,"be/get stuck with sb/sth"                  ,"C2"   ,"rámarad   vkire vki/vmi    vmit"
"/st/snk/r1125.mp3"          ,"fall on deaf ears"                         ,"C2"   ,"süket fülekre talál   vkire vki/vmi    vmit"
"/st/snk/r1373.mp3"          ,"go through the motions"                    ,"C2"   ,"kötelességszerűen csinál   vkire vki/vmi    vmit"
"/st/snk/r2579.mp3"          ,"strong opposition/support, etc."           ,"C2"   ,"erős ellenállás/támogatás/stb.   vkire vki/vmi    vmit"
"/st/snw/advocate_verb.mp3"  ,"advocate"                                  ,"C2"   ,"szót emel vki/vmi mellett"
"/st/snw/back.mp3"           ,"back"                                      ,"C2"   ,"támogat"
"/st/snw/block.mp3"          ,"block"                                     ,"C2"   ,"gátol, akadályoz"
"/st/snw/constrain.mp3"      ,"constrain"                                 ,"C2"   ,"korlátoz"
"/st/snw/endorse.mp3"        ,"endorse"                                   ,"C2"   ,"támogat, jóváhagy"
"/st/snw/further.mp3"        ,"further"                                   ,"C2"   ,"támogat, elősegít"
"/st/snw/hinder.mp3"         ,"hinder"                                    ,"C2"   ,"hátráltat, akadályoz"
"/st/snw/advocate_noun.mp3"  ,"advocate"                                  ,"C2"   ,"pártoló, szószóló"
"/st/snw/anchor.mp3"         ,"anchor"                                    ,"C2"   ,"biztos pont"
"/st/snw/backing.mp3"        ,"backing"                                   ,"C2"   ,"támogatás"
"/st/snw/champion.mp3"       ,"champion"                                  ,"C2"   ,"bajnoka/harcosa vminek"
"/st/snw/constraint.mp3"     ,"constraint"                                ,"C2"   ,"korlátozó tényező, megszorítás"
"/st/snk/r1118.mp3"          ,"fall back on sb/sth"                       ,"C2"   ,"támaszkodik  vkire/vmire"
"/st/snk/r1475.mp3"          ,"hold sb/sth back"                          ,"C2"   ,"hátráltat/gátol  vkire/vmire"
"/st/snk/r2293.mp3"          ,"relieve sb of sth"                         ,"C2"   ,"felment alól; átvesz  vkire/vmire"
"/st/snk/r2557.mp3"          ,"stick by sb"                               ,"C2"   ,"nem hagy cserben , kitart mellett  vkire/vmire"
"/st/snk/r2561.mp3"          ,"stick up for sb/sth"                       ,"C2"   ,"kiáll /magáért  vkire/vmire"
"/st/snk/r411.mp3"           ,"at/by your side"                           ,"C2"   ,"az oldalán  vkivel"
"/st/snk/r2145.mp3"          ,"pave the way"                              ,"C2"   ,"kikövezi az útját , utat nyit előtt  vkivel"
"/st/snk/r2321.mp3"          ,"rock the boat"                             ,"C2"   ,"bonyodalmat okoz  vkivel"
"/st/snw/discourage.mp3"     ,"discourage"                                ,"C2"   ,"ellenez vmit; lebeszél vmiről"
"/st/snw/drive.mp3"          ,"drive"                                     ,"C2"   ,"hajt"
"/st/snw/sell.mp3"           ,"sell"                                      ,"C2"   ,"elfogadtat vmit vkivel"
"/st/snw/spur.mp3"           ,"spur"                                      ,"C2"   ,"sarkall, buzdít"
"/st/snw/carrot.mp3"         ,"carrot"                                    ,"C2"   ,"mézesmadzag"
"/st/snw/compliment_noun.mp3","compliment"                                ,"C2"   ,"bók"
"/st/snw/guarantee.mp3"      ,"guarantee"                                 ,"C2"   ,"biztosíték, garancia, ígéret vmire"
"/st/snw/incentive.mp3"      ,"incentive"                                 ,"C2"   ,"ösztönzés"
"/st/snw/persuasion.mp3"     ,"persuasion"                                ,"C2"   ,"meggyőzés, rábeszélés; hit, meggyőződés"
"/st/snw/stimulus.mp3"       ,"stimulus"                                  ,"C2"   ,"ösztönzés, indíték"
"/st/snw/complimentary.mp3"  ,"complimentary"                             ,"C2"   ,"dicsérő"
"/st/snk/r2663.mp3"          ,"talk sb out of sth/doing sth"              ,"C2"   ,"lebeszél  vkit vmiről"
"/st/snk/r2975.mp3"          ,"urge sb on"                                ,"C2"   ,"buzdít  vkit vmiről"
"/st/snk/r457.mp3"           ,"be an inspiration to sb"                   ,"C2"   ,"lelkesítés, ösztönzés számára  vki   vkinek  vmire vmire vkinek"
"/st/snk/r1271.mp3"          ,"get moving"                                ,"C2"   ,"indíts! mozgás!  vki   vkinek  vmire vmire vkinek"
"/st/snk/r2150.mp3"          ,"pay sb a compliment"                       ,"C2"   ,"bókol  vki   vkinek  vmire vmire vkinek"
"/st/snk/r2201.mp3"          ,"prompt sb to do sth"                       ,"C2"   ,"késztet ; buzdít ; sugalmaz/súg  vki   vkinek  vmire vmire vkinek"
"/st/snw/condition.mp3"      ,"condition"                                 ,"C2"   ,"kondicionál, szoktat vmire"
"/st/snw/intervene.mp3"      ,"intervene"                                 ,"C2"   ,"közbelép, beavatkozik, közbeavatkozik; közbeszól vmibe; közbejön vmi"
"/st/snw/press.mp3"          ,"press"                                     ,"C2"   ,"próbál rávenni vmire, nyomást gyakorol vkire"
"/st/snw/provoke.mp3"        ,"provoke"                                   ,"C2"   ,"provokál ; kivált , ingerel"
"/st/snw/shape.mp3"          ,"shape"                                     ,"C2"   ,"befolyásol, alakít, kialakít"
"/st/snw/urge.mp3"           ,"urge"                                      ,"C2"   ,"nyomatékosan javasol, sürget vmit"
"/st/snw/force.mp3"          ,"force"                                     ,"C2"   ,"befolyás, hatalom, erő"
"/st/snw/intervention.mp3"   ,"intervention"                              ,"C2"   ,"közbelépés, beavatkozás, közbeavatkozás"
"/st/snw/invitation.mp3"     ,"invitation"                                ,"C2"   ,"felhívás"
"/st/snw/provocation.mp3"    ,"provocation"                               ,"C2"   ,"provokáció, bosszantás, felbosszantás"
"/st/snw/strength.mp3"       ,"strength"                                  ,"C2"   ,"erő"
"/st/snk/r1767.mp3"          ,"lean on sb"                                ,"C2"   ,"rászorít  vkit vmire  vmibe/vmire"
"/st/snk/r2280.mp3"          ,"reduce sb to sth/doing sth"                ,"C2"   ,"kényszerít  vkit vmire  vmibe/vmire"
"/st/snk/r161.mp3"           ,"a force to be reckoned with"               ,"C2"   ,"erő, amivel számolni kell     vmibe"
"/st/snk/r174.mp3"           ,"a hold on/over sth/sb"                     ,"C2"   ,"befolyás , hatalom     vmibe"
"/st/snk/r465.mp3"           ,"be at the mercy of sb/sth"                 ,"C2"   ,"kénye-kedvének kiszolgáltatva     vmibe"
"/st/snk/r1902.mp3"          ,"make your presence felt"                   ,"C2"   ,"érezteti a jelenlétét     vmibe"
"/st/snk/r1923.mp3"          ,"mind your own business"                    ,"C2"   ,"törődj a saját dolgoddal     vmibe"
"/st/snk/r2184.mp3"          ,"poke/stick your nose into sth"             ,"C2"   ,"beleüti az orrát     vmibe"
"/st/snk/r2213.mp3"          ,"pull strings"                              ,"C2"   ,"protekciót vesz igénybe     vmibe"
"/st/snk/r3012.mp3"          ,"wield influence/power, etc."               ,"C2"   ,"befolyást/hatalmat/stb. gyakorol     vmibe"
"/st/snw/plead.mp3"          ,"plead"                                     ,"C2"   ,"könyörög"
"/st/snw/summon.mp3"         ,"summon"                                    ,"C2"   ,"berendel, beidéz vhova"
"/st/snw/instruction.mp3"    ,"instruction"                               ,"C2"   ,"utasítás, instrukció; parancs"
"/st/snw/motion.mp3"         ,"motion"                                    ,"C2"   ,"indítvány"
"/st/snw/plea.mp3"           ,"plea"                                      ,"C2"   ,"kérelem, kérvény ; nyilatkozat"
"/st/snk/r364.mp3"           ,"assign sb to sth"                          ,"C2"   ,"megbíz  vkit vmivel   vkit/vmit vhova/vkihez   vkiért/vmiért vkit"
"/st/snk/r802.mp3"           ,"call for sth"                              ,"C2"   ,"igényel  vkit vmivel   vkit/vmit vhova/vkihez   vkiért/vmiért vkit"
"/st/snk/r2282.mp3"          ,"refer sb/sth to sb/sth"                    ,"C2"   ,"irányít  vkit vmivel   vkit/vmit vhova/vkihez   vkiért/vmiért vkit"
"/st/snk/r2405.mp3"          ,"send for sb"                               ,"C2"   ,"elküld ; hívat  vkit vmivel   vkit/vmit vhova/vkihez   vkiért/vmiért vkit"
"/st/snk/r162.mp3"           ,"a free hand"                               ,"C2"   ,"szabad kezet kap  vmihez   vkinek    vkinek"
"/st/snk/r53.mp3"            ,"Don't you dare"                            ,"C2"   ,"ne merészeld  vmihez   vkinek    vkinek"
"/st/snk/r1187.mp3"          ,"follow sb's example/lead"                  ,"C2"   ,"a példáját/útmutatását követi  vmihez   vkinek    vkinek"
"/st/snk/r84.mp3"            ,"I told you so"                             ,"C2"   ,"nem megmondtam? én megmondtam neked  vmihez   vkinek    vkinek"
"/st/snk/r2.mp3"             ,"(I'll) tell you what"                      ,"C2"   ,"tudod mit?  vmihez   vkinek    vkinek"
"/st/snk/r2129.mp3"          ,"owe your existence/success, etc. to sb/sth","C2"   ,"megélhetését/sikerét/stb. köszönheti  vmihez   vkinek    vkinek"
